date,title,content,link,symbols,tags,sentiment.polarity,sentiment.neg,sentiment.neu,sentiment.pos
2026-04-22T22:47:05+00:00,Why ASML Holding Stock Slumped Today,"A decision by one of the top names in the microprocessor industry had a negative effect on ASML Holdings(NASDAQ: ASML) stock on Wednesday. Although the news wasn't necessarily alarming, it was dispiriting enough to drive ASML's shares down by slightly over 1% that trading session.

A big customer hesitates

That monster chip company is Taiwan Semiconductor. Its co-COO, Kevin Zhang, told reporters that it had no plans to deploy ASML's cutting-edge chip-making equipment, specifically the high-numerical-aperture extreme ultraviolet (NA-EUV) lithography machines designed for next-generation processors.

Will AI create the world's first trillionaire? Our team just released a report on a little-known company, called an ""Indispensable Monopoly,"" providing the critical technology Nvidia and Intel both need. 

Continue »Image source: Getty Images.

The earliest time Taiwan Semi would consider adopting the equipment is in 2029 for its A13 node.

The costs of NA-EUV equipment are steep; according to Bloomberg reporting, these sophisticated and large-scale machines can fetch at least $410 million apiece.

In a briefing for members of the press and analysts just before the opening of his company's annual Technology Symposium, Zhang implied it was comfortable with its existing low-NA EUV equipment. He said the company's research and development personnel ""continue to find a way to drive technology scaling without using high-NA.""

Initial overreaction

On Wednesday, ASML stock fell as much as 5.5% as investors parsed these remarks. The fact that the shares recovered relatively well from this suggests that investors are viewing it more as a setback than a damaging blow to the company's business.

I think that's a realistic way to look at it. ASML is still an important, some would say critical, company in the development and rollout of artificial intelligence (AI) hardware. Even if its high-NA gear doesn't make its way into Taiwan Semi's facilities right away, 2029 isn't very far off.

And Taiwan Semi, of course, isn't the only potential client for this equipment -- Intel purchased a set of the ASML machines and put one into operational use in April 2024.

Should you buy stock in ASML right now?

Before you buy stock in ASML, consider this:

The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and ASML wasn’t one of them. The 10 stocks that made the cut could produce monster returns in the coming years.

Consider when Netflix made this list on December 17, 2004... if you invested $1,000 at the time of our recommendation, you’d have $499,277!* Or when Nvidia made this list on April 15, 2005... if you invested $1,000 at the time of our recommendation, you’d have $1,225,371!*

Story Continues

Now, it’s worth noting Stock Advisor’s total average return is 972% — a market-crushing outperformance compared to 198% for the S&P 500. Don't miss the latest top 10 list, available with Stock Advisor, and join an investing community built by individual investors for individual investors.

See the 10 stocks »

*Stock Advisor returns as of April 22, 2026.

Eric Volkman has no position in any of the stocks mentioned. The Motley Fool has positions in and recommends ASML and Taiwan Semiconductor Manufacturing. The Motley Fool has a disclosure policy.

Why ASML Holding Stock Slumped Today was originally published by The Motley Fool

View Comments",https://finance.yahoo.com/markets/stocks/articles/why-asml-holding-stock-slumped-224705565.html,"['ASML.US', 'TSM.US']","['AI', 'CHIP-EQUIPMENT', 'EARNINGS', 'SEMICONDUCTORS']",-0.301,0.059,0.876,0.065
2026-04-22T22:10:30+00:00,ASML Holding (ASML): Among the Best European Stocks to Buy According to Analysts,"ASML Holding N.V. (NASDAQ:ASML) is listed among the 10 Best European Stocks to Buy According to Analysts.

On April 17, Freedom Broker analyst Egor Tolmachev upgraded ASML Holding N.V. (NASDAQ:ASML) to Buy from Hold while sharply increasing the firm’s price target to $1,650 from $950. The upgrade followed what the analyst described as a broad-based first-quarter earnings beat, which improved visibility into the company’s near-term operating trajectory. According to the research note, the results reinforce the view that ASML remains one of the clearest beneficiaries of the ongoing artificial intelligence-driven semiconductor investment cycle. Freedom Broker also highlighted what it characterized as durable demand signals, suggesting customers continue to prioritize spending on the company’s mission-critical lithography systems despite broader macroeconomic uncertainty.

On April 16, Susquehanna International Group analyst Mehdi Hosseini raised the firm’s price target on ASML Holding N.V. (NASDAQ:ASML) to EUR 1,475 from EUR 1,450 and maintained a Positive rating on the shares. The revision came after the company’s first-quarter earnings release and an updated 2026 outlook that pointed to stronger memory-related capital expenditures. Susquehanna also cited upside potential in immersion system shipments, along with incremental 2026 investment plans from select integrated device manufacturers. These developments indicate that spending momentum is broadening beyond logic chips and into additional semiconductor end markets, strengthening ASML’s long-term order pipeline.

ASML Holding N.V. (NASDAQ:ASML) is a Netherlands-based technology company that maintains a near-monopoly in the advanced lithography equipment required to manufacture leading-edge semiconductors. Its systems are essential for producing the world’s most sophisticated chips used in artificial intelligence, smartphones, data centers, and automotive applications. The company is headquartered in Veldhoven and was founded in 1984. As artificial intelligence infrastructure buildouts accelerate worldwide, ASML remains one of the most compelling ways for investors to gain exposure to the next wave of semiconductor expansion.

While we acknowledge the potential of ASML as an investment, we believe certain AI stocks offer greater upside potential and carry less downside risk. If you're looking for an extremely undervalued AI stock that also stands to benefit significantly from Trump-era tariffs and the onshoring trend, see our free report on the best short-term AI stock.

Story Continues

READ NEXT: 10 High Growth Canadian Stocks to Buy Now and 8 Best Up and Coming Semiconductor Stocks to Buy.

Disclosure: None. Follow Insider Monkey on Google News.

View Comments",https://finance.yahoo.com/markets/stocks/articles/asml-holding-asml-among-best-221030361.html,"['1ASML.MI', 'ASME.DU', 'ASME.F', 'ASME.MU', 'ASMF.F', 'ASML.AS', 'ASML.US', 'ASML34.SA', 'ASMLF.US']","['EARNINGS', 'EARNINGS RELEASE', 'PRICE TARGET', 'PRICE-TARGET', 'SEMICONDUCTORS', 'TECH']",0.997,0.012,0.823,0.166
2026-04-22T19:42:54+00:00,ASML shares slide 3% as TSMC delay deals blow to high-NA EUV rollout,"Investing.com -- ASML Holding (NASDAQ:ASML) shares fell 3.7% Wednesday afternoon following reports that Taiwan Semiconductor Manufacturing Co. will postpone deploying the Dutch company’s most advanced lithography machines.

Bloomberg reported that TSMC, ASML’s largest customer according to Bloomberg’s supply chain data, has no current plans to adopt ASML’s latest high numerical aperture extreme ultraviolet lithography machines, or high-NA EUV, for chip production through 2029. The equipment costs upwards of €350 million ($410 million) per unit.

TSMC Deputy Co-Chief Operating Officer Kevin Zhang told reporters the company will continue using current EUV technology, describing the next-generation high-NA EUV machines as ""very, very expensive."" Zhang made the comments while announcing that TSMC’s leading-edge A13 chip will enter production in 2029.

The decision could pose challenges for ASML, which expects high-NA EUV machines to enter high-volume production in 2027 and 2028. The company is targeting revenue of as much as €60 billion in 2030, with adoption of the advanced equipment being closely monitored by investors.

Related articles

ASML shares slide 3% as TSMC delay deals blow to high-NA EUV rollout

Wolfe Research outlines eight risks that could spark stock declines in 2026

This sector is 'poised for a big, beautiful year': Truist

View Comments",https://finance.yahoo.com/markets/stocks/articles/asml-shares-slide-3-tsmc-194254197.html,"['1ASML.MI', '2330.TW', 'ASME.DU', 'ASME.F', 'ASME.MU', 'ASMF.F', 'ASML.AS', 'ASML.US', 'ASML34.SA', 'ASMLF.US', 'TSFA.F', 'TSM.US', 'TSMC34.SA', 'TSMN.MX', 'TSMWF.US']","['CHIP-PRODUCTION', 'EQUIPMENT', 'SEMICONDUCTORS', 'TECHNOLOGY']",0.839,0.04,0.869,0.091
2026-04-22T19:29:24+00:00,Cadence partners with TSMC to speed up chip development with agentic design,"[Silicon wafer negative color in machine in semiconductor manufacturing]
MACRO PHOTO/iStock via Getty Images

Cadence Design Systems (CDNS [https://seekingalpha.com/symbol/CDNS]) has expanded its partnership with Taiwan Semiconductor Manufacturing (TSM [https://seekingalpha.com/symbol/TSM]) to enhance artificial intelligence chip development.

Shares of Cadence were up 1.6% during afternoon trading on Wednesday.

The expanded collaboration will deliver IP, signoff-ready, end-to-end design infrastructure, and advanced, certified flows for AI silicon on Taiwan Semiconductor's N3, N2, A16, and A14 process technologies. It is expected to lead to reduced iterations and accelerate the chipmaking process.

Cadence has added agentic AI to the chip design process. Chipmakers such as Nvidia (NVDA [https://seekingalpha.com/symbol/NVDA]) and Arm (ARM [https://seekingalpha.com/symbol/ARM]) are utilizing these developments.

""The increasing scale and complexity of next-generation AI silicon require a reinvented approach to design that integrates accelerated computing and agentic AI at every stage of the chip design cycle,"" said Tim Costa, vice president and general manager of computational engineering at Nvidia. ""By collaborating with Cadence, Nvidia is helping advance the EDA tools necessary for its design teams and the global semiconductor ecosystem to optimize performance and accelerate the delivery of the world's most sophisticated AI architectures.""

""Collaboration within the ecosystem—including between leading design and manufacturing partners such as Cadence and TSMC—plays an important role in enabling the next generation of Arm-based infrastructure for AI and HPC deployments,"" said Eddie Ramirez, vice president of go-to-market for the Cloud AI business unit at Arm.

MORE ON CADENCE AND TSMC

 	* Taiwan Semiconductor: The AI Boom Is Broadening, And That Matters [https://seekingalpha.com/article/4892783-the-ai-boom-is-broadening-and-that-matters-for-tsmc-stock]
 	* TSMC: The Market Is Pricing A Foundry Like A Cyclical. It Is Not One. [https://seekingalpha.com/article/4892360-tsmc-the-market-is-pricing-a-foundry-like-a-cyclical-it-is-not-one]
 	* TSMC: AI Supercycle Buys Don't Come Stronger Than This [https://seekingalpha.com/article/4891925-tsmc-ai-supercycle-buys-dont-come-stronger-than-this]
 	* Cadence edges up as EDA arrives at its 'ChatGPT moment': Needham [https://seekingalpha.com/news/4576706-cadence-edges-up-as-eda-arrives-at-its-chatgpt-moment-needham]
 	* Top global stories this week: ASML, Tesco, Taiwan Semiconductor among notable names [https://seekingalpha.com/news/4576326-top-global-stories-this-week-asml-tesco-taiwan-semiconductor-among-notable-names]

 ",https://seekingalpha.com/news/4578164-cadence-partners-with-tsmc-to-speed-up-chip-development-with-agentic-design?utm_source=feed_news_all&amp;utm_medium=referral&amp;feed_item_type=news,"['ARM.US', 'ASML.US', 'CDNS.US', 'NVDA.US', 'TSM.US']","['AI', 'CHIP-DESIGN', 'EDA-TOOLS', 'SEMICONDUCTORS']",0.939,0.016,0.908,0.076
2026-04-22T19:01:17+00:00,"TSMC shows smaller, faster chips without a pricey new tool from ASML","By Stephen Nellis and Max A. Cherney

SANTA CLARA, California, April 22 (Reuters) - Taiwan Semiconductor Manufacturing Co on Wednesday showed its newest generation of chip manufacturing technology, saying it expects to be able to create ‌smaller, faster chips without requiring expensive new machines from ASML.

TSMC, the global giant that makes chips for ‌Nvidia, Apple and Google, among many others, showed two improvements of chipmaking technology: One called A13, which will go into production in 2029 and ​likely be used for artificial intelligence chips, and one called N2U, a more affordable option that can be used to make chips for phones and laptops, as well as AI chips.

For all of the technologies TSMC showed on Wednesday, it is planning to squeeze more gains out of its existing extreme-ultraviolet lithography (EUV) machines from Dutch supplier ASML, rather than move to a newer ‌generation of ""high NA"" EUV machines, which, at $400 ⁠million each, are roughly double the cost of the older machines.

""This is where I think our R&D has done exceptionally well in terms of leveraging existing EUV technology while setting an ⁠aggressive technology scaling roadmap,"" Kevin Zhang, deputy co-chief operations officer and senior vice president, told Reuters. ""This is definitely a strength.""

But the gains from smaller and faster chips are modest, and TSMC also showed plans for new technologies in stitching complex AI chips together, which ​is ​where analysts expect companies like Nvidia to get the most performance ​gains in coming years. Where current AI offerings ‌like Nvidia's Vera Rubin, which will come out this year and is made by TSMC, have two large computing chips and eight stacks of high-bandwidth memory, TSMC on Wednesday said that by 2028 it will have the ability to stitch together 10 large chips and 20 memory stacks.

Named after Intel CEO Gordon Moore, his eponymous law predicted that computing power would roughly double every two years while at the same time get cheaper. In recent years, some such as Nvidia's ‌CEO Jensen Huang have said that it no longer holds true.

TSMC ​is effectively extending Moore's law through the company's technology that stitches multiple ​chips together, according to Dan Hutcheson, vice chair of ​TechInsights.

""Moore’s law is morphing from a monolithic, single die in a package to multi-die in ‌a package,"" he said in an interview. ""And that allows ​the power and performance gains.""

But ​stitching together chips brings challenges of its own. The chips get hot as they operate, and the different materials used to package them together expand at different rates, creating a fresh set of challenges for chip ​designers.

Story Continues

Large chip packages can bend and crack, ‌which were issues for Nvidia's Rubin AI processor, according to Ian Cutress, chief analyst at consultancy More ​Than Moore.

""(TSMC) aren't addressing directly how they are solving those challenges,"" Cutress said.

(Reporting by Stephen Nellis and ​Max Cherney in Santa Clara, California; Editing by Stephen Coates)

View Comments",https://finance.yahoo.com/sectors/technology/articles/tsmc-shows-smaller-faster-chips-190117331.html,"['1AAPL.MI', '1ASML.MI', '1GOOG.MI', '1GOOGL.MI', '2330.TW', 'AAPL.BA', 'AAPL.MX', 'AAPL.US', 'AAPL34.SA', 'ABE0.F', 'ABEA.F', 'ABEC.F', 'APC.DU', 'APC.F', 'APC.HA', 'APC.HM', 'APC.MU', 'APC8.F', 'ASME.DU', 'ASME.F', 'ASME.MU', 'ASMF.F', 'ASML.AS', 'ASML.US', 'ASML34.SA', 'ASMLF.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.BA', 'GOOGL.MX', 'GOOGL.SN', 'GOOGL.US', 'NVDA.US', 'TSFA.F', 'TSM.US', 'TSMC.US', 'TSMC34.SA', 'TSMN.MX', 'TSMWF.US']","['AI-CHIPS', 'CHIP-MANUFACTURING', 'MOORES-LAW', 'SEMICONDUCTORS']",0.982,0.012,0.906,0.082
2026-04-22T16:50:00+00:00,ASML Has Just Delivered Massive News for Micron Technology Investors,"ASML Holding(NASDAQ: ASML) is an artificial intelligence (AI) bellwether, as its extreme ultraviolet lithography machines are the only ones that enable foundries, memory manufacturers, and integrated device manufacturers to print advanced chips for several AI applications.

The chips manufactured using ASML's machines are deployed in smartphones, personal computers, and data centers, among other applications. So the company's latest results bode well for AI stocks, as they clearly show that demand for AI infrastructure is so strong that companies have been investing aggressively to build more capacity.

Will AI create the world's first trillionaire? Our team just released a report on the one little-known company, called an ""Indispensable Monopoly"" providing the critical technology Nvidia and Intel both need. Continue »

So don't be surprised to see AI stocks such as Micron Technology(NASDAQ: MU) head higher following ASML's latest report. Let's see why that may be the case.Image source: Micron Technology

ASML expects the memory shortage to continue

ASML has boosted its 2026 revenue guidance. It now expects its revenue to increase by 16% year over year to 38 billion euros at the midpoint of its guidance range, up from its prior expectation of 11.6% growth. ASML management attributes the improved guidance to the growing capital expenses of its customers.

Importantly, ASML points out that its customers are witnessing healthy demand from their own customers. As a result, ASML anticipates that its customers will continue to boost their production capacities in 2026 and 2027. There is a simple reason ASML's customers, which include foundries such as Taiwan Semiconductor Manufacturing and Samsung and memory manufacturers such as Micron, are boosting capital investments: surging demand.

Micron will continue benefiting from a favorable pricing environment

ASML management remarked on the latest earnings call that memory supply is unlikely to meet demand in the foreseeable future. This is great news for Micron Technology investors, who have seen a remarkable 60% increase in the company's stock so far this year.

Micron stock has benefited from the shortage of memory chips, which has led to a stunning jump in the prices of both dynamic random-access memory (DRAM) and NAND flash storage chips. Analysts are expecting the company's non-GAAP earnings to jump almost sevenfold in the current fiscal year. Even better, Micron's earnings could increase by an impressive 70% in the next fiscal year.

However, Micron could exceed expectations as DRAM prices are anticipated to jump by 125% this year, while NAND flash prices are expected to jump by 234%, according to Gartner. With Micron trading at just 22 times earnings, it is time to buy this stock hand over fist, as ASML's comments indicate that the favorable pricing environment it enjoys is here to stay.

Story Continues

Analysts are anticipating Micron stock to jump another 21% in the coming year, based on its 12-month median price target of $550. Also, 92% of the 48 analysts covering Micron rate it as a buy. All this suggests that Micron is a no-brainer buy right now, especially given that it can crush the median price target once the market rewards it with a premium valuation for its eye-popping earnings growth.

Should you buy stock in Micron Technology right now?

Before you buy stock in Micron Technology, consider this:

The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and Micron Technology wasn’t one of them. The 10 stocks that made the cut could produce monster returns in the coming years.

Consider when Netflix made this list on December 17, 2004... if you invested $1,000 at the time of our recommendation, you’d have $499,277!* Or when Nvidia made this list on April 15, 2005... if you invested $1,000 at the time of our recommendation, you’d have $1,225,371!*

Now, it’s worth noting Stock Advisor’s total average return is 972% — a market-crushing outperformance compared to 198% for the S&P 500. Don't miss the latest top 10 list, available with Stock Advisor, and join an investing community built by individual investors for individual investors.

See the 10 stocks »

*Stock Advisor returns as of April 22, 2026.

Harsh Chauhan has no position in any of the stocks mentioned. The Motley Fool has positions in and recommends ASML, Micron Technology, and Taiwan Semiconductor Manufacturing. The Motley Fool recommends Gartner. The Motley Fool has a disclosure policy.

ASML Has Just Delivered Massive News for Micron Technology Investors was originally published by The Motley Fool

View Comments",https://finance.yahoo.com/markets/stocks/articles/asml-just-delivered-massive-news-165000848.html,"['ASML.US', 'INTC.US', 'MU.US', 'NVDA.US']","['EARNINGS', 'EARNINGS GROWTH', 'GUIDANCE', 'PRICE TARGET', 'PRICE-TARGET', 'SEMICONDUCTORS']",0.994,0.049,0.841,0.111
2026-04-22T15:36:55+00:00,Micron Urges Tougher China Chip Curbs,"This article first appeared on GuruFocus.

Micron (MU, Financials) is telling U.S. lawmakers to make it harder to send semiconductor equipment to China because the global memory chip industry is getting more competitive.The main goal of the initiative is the planned MATCH Act, which would eliminate loopholes that let foreign corporations sell chipmaking technologies to Chinese enterprises. The law would also put pressure on suppliers outside the U.S. to respect U.S. export rules, which would have a bigger effect on the world.Micron's CEO Sanjay Mehrotra and other executives have been working hard to convince members of Congress to take stronger action. The business says that China needs stricter controls to slow down its progress in making memory chips, which it sees as a threat to both national security and competition.The law is aimed at big Chinese companies like Yangtze Memory Technologies and ChangXin Memory Technologies, which have kept growing even though the U.S. has put limits on them.The plan could also have an effect on global equipment providers like ASML by making it necessary to get licenses to work on some Chinese sites.

Warning! GuruFocus has detected 5 Warning Signs with MU. Is MU fairly valued? Test your thesis with our free DCF calculator.

The Micron campaign highlights how fragmented the sector is as companies cope with geopolitical issues and aim to gain market share. Will the measure pass and affect memory chip companies' competitiveness? Investors will watch.

View Comments",https://finance.yahoo.com/sectors/technology/articles/micron-urges-tougher-china-chip-153655832.html,"['1MU.MI', 'ASML.US', 'MTE.F', 'MU.MX', 'MU.US', 'MUTC34.SA']","['COMPETITION', 'GEOPOLITICS', 'REGULATION', 'SEMICONDUCTORS']",0.96,0.045,0.834,0.121
2026-04-22T14:01:47+00:00,Are ASML capacity fears overdone? UBS weighs in,"Investing.com -- After a roadshow with ASML’s CEO and chief financial officer, UBS analysts returned more confident that investor concerns about the Dutch chipmaking equipment maker’s production capacity are overstated.

The bank reiterated a Buy rating on the stock and its price target of €1,600.

ASML management reiterated the potential extreme ultraviolet (EUV) capacity of more than 80 systems in 2027, with output remaining closely tied to demand and discipline maintained on overbuilding.

""In our view, investors continue to underestimate ASML’s manufacturing flexibility and ongoing productivity gains across its tool portfolio,"" analysts led by Francois-Xavier Bouvignies said in a note.

Moreover, the introduction of a new EUV model F in 2027 should provide a further capacity uplift without requiring proportional increases in tool output, they added.

Commenting on China, analysts noted near-term softness in the country, saying that lithography demand has recovered more slowly than expected due to fab readiness constraints and lead time mismatches.

UBS models ASML’s China revenues falling 10% in 2026 before rebounding 9% in 2027, and argues that strength in non-China advanced logic and memory more than offsets the shortfall.

Analysts also said that record second-half 2025 lithography spending is more likely to benefit deposition and etch equipment in 2026 rather than provide immediate lithography upside, implying a stronger lithography recovery in 2027.

On High NA — ASML’s next-generation EUV technology — UBS pointed to recent feedback from the SPIE conference as supportive of continued adoption confidence. The bank cited 20-40% cost savings versus alternative patterning approaches, tool availability expected to exceed 90% in the second half of 2026, and meaningful process simplification as factors supporting initial High NA insertion in the 2028-2029 timeframe.

ASML’s first-quarter gross margin came in at 53%, with full-year guidance reiterated at 51-53%. Analysts see conservatism in that range given limited visibility on upgrades, and forecast a full-year gross margin of 53.8%, toward the upper end of guidance.

Related articles

Are ASML capacity fears overdone? UBS weighs in

These 2 stocks are best positioned to benefit from higher uranium prices: analyst

As Claude disrupts stock market, Anthropic researcher warns ’world is in peril’

View Comments",https://finance.yahoo.com/markets/stocks/articles/asml-capacity-fears-overdone-ubs-140147180.html,"['1ASML.MI', 'ASME.DU', 'ASME.F', 'ASME.MU', 'ASMF.F', 'ASML.AS', 'ASML.US', 'ASML34.SA', 'ASMLF.US']","['EARNINGS', 'GUIDANCE', 'PRICE TARGET', 'PRICE-TARGET', 'SEMICONDUCTORS']",0.97,0.057,0.833,0.11
2026-04-22T13:00:06+00:00,Investors Heavily Search ASML Holding N.V. (ASML): Here is What You Need to Know,"ASML (ASML) has been one of the most searched-for stocks on Zacks.com lately. So, you might want to look at some of the facts that could shape the stock's performance in the near term.

Over the past month, shares of this equipment supplier to semiconductor makers have returned +4.3%, compared to the Zacks S&P 500 composite's +9.3% change. During this period, the Zacks Semiconductor Equipment - Wafer Fabrication industry, which ASML falls in, has gained 11%. The key question now is: What could be the stock's future direction?

Although media reports or rumors about a significant change in a company's business prospects usually cause its stock to trend and lead to an immediate price change, there are always certain fundamental factors that ultimately drive the buy-and-hold decision.

Revisions to Earnings Estimates

Rather than focusing on anything else, we at Zacks prioritize evaluating the change in a company's earnings projection. This is because we believe the fair value for its stock is determined by the present value of its future stream of earnings.

Our analysis is essentially based on how sell-side analysts covering the stock are revising their earnings estimates to take the latest business trends into account. When earnings estimates for a company go up, the fair value for its stock goes up as well. And when a stock's fair value is higher than its current market price, investors tend to buy the stock, resulting in its price moving upward. Because of this, empirical studies indicate a strong correlation between trends in earnings estimate revisions and short-term stock price movements.

ASML is expected to post earnings of $8.10 per share for the current quarter, representing a year-over-year change of +78%. Over the last 30 days, the Zacks Consensus Estimate has changed +2.4%.

For the current fiscal year, the consensus earnings estimate of $36.51 points to a change of +30.6% from the prior year. Over the last 30 days, this estimate has changed +7.4%.

For the next fiscal year, the consensus earnings estimate of $46.65 indicates a change of +27.8% from what ASML is expected to report a year ago. Over the past month, the estimate has changed +12%.

With an impressive externally audited track record, our proprietary stock rating tool -- the Zacks Rank -- is a more conclusive indicator of a stock's near-term price performance, as it effectively harnesses the power of earnings estimate revisions. The size of the recent change in the consensus estimate, along with three other factors related to earnings estimates, has resulted in a Zacks Rank #3 (Hold) for ASML.

Story Continues

The chart below shows the evolution of the company's forward 12-month consensus EPS estimate:

12 Month EPS12-month consensus EPS estimate for ASML

Revenue Growth Forecast

Even though a company's earnings growth is arguably the best indicator of its financial health, nothing much happens if it cannot raise its revenues. It's almost impossible for a company to grow its earnings without growing its revenue for long periods. Therefore, knowing a company's potential revenue growth is crucial.

For ASML, the consensus sales estimate for the current quarter of $10.37 billion indicates a year-over-year change of +18.8%. For the current and next fiscal years, $45.11 billion and $53.8 billion estimates indicate +22% and +19.3% changes, respectively.

Last Reported Results and Surprise History

ASML reported revenues of $10.26 billion in the last reported quarter, representing a year-over-year change of +26%. EPS of $8.37 for the same period compares with $6.31 a year ago.

Compared to the Zacks Consensus Estimate of $10.21 billion, the reported revenues represent a surprise of +0.48%. The EPS surprise was +8.42%.

Over the last four quarters, ASML surpassed consensus EPS estimates two times. The company topped consensus revenue estimates three times over this period.

Valuation

No investment decision can be efficient without considering a stock's valuation. Whether a stock's current price rightly reflects the intrinsic value of the underlying business and the company's growth prospects is an essential determinant of its future price performance.

While comparing the current values of a company's valuation multiples, such as price-to-earnings (P/E), price-to-sales (P/S), and price-to-cash flow (P/CF), with its own historical values helps determine whether its stock is fairly valued, overvalued, or undervalued, comparing the company relative to its peers on these parameters gives a good sense of the reasonability of the stock's price.

The Zacks Value Style Score (part of the Zacks Style Scores system), which pays close attention to both traditional and unconventional valuation metrics to grade stocks from A to F (an A is better than a B; a B is better than a C; and so on), is pretty helpful in identifying whether a stock is overvalued, rightly valued, or temporarily undervalued.

ASML is graded F on this front, indicating that it is trading at a premium to its peers. Click here to see the values of some of the valuation metrics that have driven this grade.

Conclusion

The facts discussed here and much other information on Zacks.com might help determine whether or not it's worthwhile paying attention to the market buzz about ASML. However, its Zacks Rank #3 does suggest that it may perform in line with the broader market in the near term.

Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report

ASML Holding N.V. (ASML) : Free Stock Analysis Report

This article originally published on Zacks Investment Research (zacks.com).

Zacks Investment Research

View Comments",https://finance.yahoo.com/markets/stocks/articles/investors-heavily-search-asml-holding-130006281.html,"['1ASML.MI', 'ASME.DU', 'ASME.F', 'ASME.MU', 'ASMF.F', 'ASML.AS', 'ASML.US', 'ASML34.SA', 'ASMLF.US', 'GSPC.INDX']","['CONSENSUS ESTIMATE', 'EARNINGS', 'EARNINGS ESTIMATE', 'EARNINGS GROWTH', 'INTRINSIC VALUE', 'PRESENT VALUE', 'REVENUE ESTIMATES', 'REVENUE GROWTH', 'SEMICONDUCTORS', 'VALUATION']",0.999,0.007,0.864,0.129
2026-04-22T12:50:29+00:00,Are investors turning bearish on US stocks? BofA flags outflows,"Investing.com -- Global long-only funds continued to rotate out of U.S. equities and into international markets in March, with the trend now deepening into the second quarter, according to a Bank of America research note published Tuesday.

In March alone, long-only funds sold $15.4 billion worth of U.S. shares while buying $16.7 billion in Europe and $9.8 billion in Japan. Emerging markets and Asia Pacific ex-Japan also attracted inflows of $4.8 billion and $4.7 billion, respectively.

Over the past 12 months, funds have sold a net $284 billion in U.S. stocks while buying $119 billion in Asia Pacific ex-Japan and $71.7 billion in emerging markets.

The trend reflects a broader repositioning in active fund management. Active long-only funds sold shares in most regions during March — Japan being the exception — while passive funds bought across the board.

Year-to-date, U.S. outflows have reached $131 billion, dwarfing flows into every other region.

By sector, funds bought most heavily into Healthcare in March, $17.9 billion and $16.1 billion, respectively, while continuing to offload Software and Diversified Financials, with outflows totaling $27.8 billion and $9.6 billion, respectively.

At the stock level, the month’s largest purchases included AstraZeneca, Exxon Mobil, Waters Corp, Alphabet, Johnson & Johnson, Vertiv, Roche, RTX, and Kioxia.

Microsoft, Samsung Electronics, JPMorgan Chase, and NVIDIA were among the most sold. Over the past year, the single biggest seller has been Meta, with $37.3 billion in cumulative outflows.

Among eight global investment themes the bank tracks, Gold and Rare Earths have attracted the most buying over the past 12 months, while Artificial Intelligence has seen the steepest outflows at -$93.3 billion, followed by Quantum Computing at -$41.6 billion.

On positioning trends, BofA said active funds remain most overweight Europe and most underweight the U.S.

“In the last three months, funds have cut exposure the most to USA,” the note says.

For stock selection, BofA’s ""Crowded Positives"" screen — which identifies heavily owned, overweight stocks with strong earnings, price, and news momentum — currently flags Broadcom, TSMC, SK Hynix, ASML, CATL-A, and UniCredit.

On the flip side, its ""Under-owned Negatives"" screen highlights Coinbase Global, Blackstone, JD.com, Datadog, Mercedes-Benz, and Saudi Arabian Oil as stocks where weak momentum meets low fund ownership.

Related articles

Are investors turning bearish on US stocks? BofA flags outflows

Nvidia's new Alpamayo project: What it means for Tesla?

This sector is 'poised for a big, beautiful year': Truist

View Comments",https://finance.yahoo.com/markets/stocks/articles/investors-turning-bearish-us-stocks-125029945.html,"['ASML.US', 'AZN.US', 'BAC-PB.US', 'BAC-PE.US', 'BAC-PK.US', 'BAC-PL.US', 'BAC.MX', 'BAC.US', 'BML-PG.US', 'BML-PH.US', 'BML-PJ.US', 'BML-PL.US', 'BOAC34.SA', 'COIN.US', 'GOOGL.US', 'JNJ.US', 'META.US', 'NCB.F', 'NCB.HM', 'NCB0.F', 'NVDA.US', 'RTX.US', 'TSM.US', 'WAT.US', 'XOM.US']","['ARTIFICIAL-INTELLIGENCE', 'FUND-FLOWS', 'HEALTHCARE', 'LONG-ONLY-FUNDS', 'SECTOR-ROTATION']",0.982,0.033,0.859,0.107
