date,title,content,link,symbols,tags,sentiment.polarity,sentiment.neg,sentiment.neu,sentiment.pos
2026-06-26T12:46:55+00:00,SoftBank Plunges 13% As OpenAI IPO Delay Concerns Shake Investors,"This article first appeared on GuruFocus.

SoftBank Group (SOBKY) shares fell 13% on Friday, marking their steepest drop since August 2024, as investors reacted to concerns that OpenAI could possibly delay its initial public offering until next year. The move hit a key part of SoftBank's recent investment story, with its planned exposure to the ChatGPT maker expected to reach roughly $65 billion by October. Expectations for a major OpenAI listing had helped push SoftBank shares to record highs and lifted its market value above Toyota Motor Corp.'s last month.

Warning! GuruFocus has detected 5 Warning Signs with SOBKY. Is SOBKY fairly valued? Test your thesis with our free DCF calculator.

OpenAI has recently submitted IPO paperwork with the US Securities and Exchange Commission and is working with Goldman Sachs and Morgan Stanley on a potential listing as soon as the fall, according to people familiar with the matter. But bankers advising OpenAI warned that volatility in tech stocks could weaken appetite for an offering, the New York Times reported. That possible delay has raised questions over when SoftBank investors may get a clearer public-market valuation for one of the company's most important private holdings.

The issue matters because an OpenAI listing could give investors a more transparent price for a major piece of SoftBank's portfolio, which still includes hundreds of privately held startups. Resona Holdings strategist Hiroki Takei said a public listing could make SoftBank's broader holdings easier to value and potentially reduce the heavy conglomerate discount applied to its shares. With those expectations cooling, SoftBank became the worst performer on the Nikkei 225 on Friday, while the chip-heavy index dropped 4.2% as tech sentiment weakened across Asia.

View Comments",https://finance.yahoo.com/markets/stocks/articles/softbank-plunges-13-openai-ipo-124655001.html,"['7203.TSE', '9984.TSE', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F', 'SOBKY.US', 'TM.US', 'TMCO34.SA', 'TMN.MX', 'TOM.DU', 'TOM.F', 'TOM.HM', 'TOM.MU', 'TOMA.F', 'TOYOF.US']","['EQUITY-MARKETS', 'INITIAL PUBLIC OFFERING', 'IPO', 'OPENAI', 'SOFTBANK', 'TECH']",0.352,0.075,0.831,0.094
2026-06-26T11:35:01+00:00,Tech Retreat Undercuts European Bourses Midday,"European bourses tracked lower midday Friday as traders again viewed tech shares cautiously, after m

PREMIUM

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Upgrade

Already have a subscription? Sign in",https://finance.yahoo.com/markets/world-indices/articles/tech-retreat-undercuts-european-bourses-113501384.html,"['0P6N.IL', '9984.TSE', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F', 'STOXX.INDX', 'VLKAF.US', 'VLKPF.US', 'VOW.DU', 'VOW.F', 'VOW.HA', 'VOW.HM', 'VOW.MU', 'VOW.PR', 'VOW.XETRA', 'VOW3.DU', 'VOW3.F', 'VOW3.HA', 'VOW3.HM', 'VOW3.MU', 'VOWA.F', 'VOWB.F', 'VWAGY.US', 'VWAPY.US']",[],0.0,0.046,0.907,0.046
2026-06-26T11:15:50+00:00,SoftBank stock falls on possible OpenAI IPO delay,"SoftBank Group stock fell more than 12% on Friday after The New York Times reported that OpenAI may push its initial public offering back to 2027.

Bankers advising OpenAI reportedly cautioned that volatility in tech stocks could weaken demand for an offering. By October, SoftBank's total commitment to the ChatGPT maker is expected to hit approximately $65 billion. The prospect of a major payday from OpenAI going public had lifted the Japanese company's shares to all-time highs — enough to push its market capitalization past that of Toyota Motor Corp. last month.

Investor enthusiasm for SoftBank may also be capped by concerns that OpenAI could struggle to secure demand at a $1 trillion valuation, according to CNBC. Friday's decline was SoftBank's largest intraday drop in more than three months.

According to Hiroki Takei, a strategist at Resona Holdings, who spoke to Bloomberg, SoftBank's portfolio is unusually difficult to value because it encompasses hundreds of companies with no public market price. A listed OpenAI would serve as a benchmark for one of its largest positions, potentially narrowing the conglomerate discount that has long weighed on the stock, Takei said. ""News of an IPO delay naturally dampens those expectations,"" he said.

Goldman Sachs Group and Morgan Stanley are advising OpenAI on a possible public offering that could come as early as this fall, noting that the company has already filed confidential listing documents with U.S. securities regulators.

SoftBank's exposure to OpenAI sits at the center of a complex financial picture the company has been navigating for months. An effort by SoftBank to raise at least $6 billion through a margin loan collateralized by its OpenAI holdings stalled earlier this month, with lenders citing difficulty pricing a stake in a private company with no public market valuation. SoftBank also carries a $40 billion bridge loan it took on to fund its OpenAI commitments, with repayment due in March 2027.

The Vision Fund arm of SoftBank recorded roughly $46 billion in investment gains over the 12 months through March 31, driven almost entirely by a rising valuation on its OpenAI holdings. The fair value of SoftBank's total OpenAI investment reached $79.6 billion at year-end, against a cumulative investment cost of $34.6 billion.

Friday's selloff in SoftBank stock unfolded alongside a broader retreat in Asian and European technology shares, as investors also weighed the impact of rising AI infrastructure costs following Apple's announcement of price increases on some MacBook and iPad products.

View Comments",https://finance.yahoo.com/markets/stocks/articles/softbank-stock-falls-openai-ipo-111550785.html,"['7203.TSE', '9984.TSE', 'SFTBY.US']","['FINANCIALS', 'INITIAL PUBLIC OFFERING', 'IPO', 'TECH']",0.809,0.056,0.866,0.078
2026-06-26T11:14:58+00:00,SoftBank Plunges on OpenAI IPO Delay,"This article first appeared on GuruFocus.

SoftBank (SFTBY) shares plunged as much as 13% Friday after reports said OpenAI may delay its highly anticipated IPO until 2027.

The potential delay matters because SoftBank has become one of OpenAI's biggest financial backers and is building what is expected to be roughly a 13% stake. The New York Times reported that OpenAI had considered going public as early as the second half of 2026, with CEO Sam Altman reportedly pushing advisers toward a $1 trillion valuation target.

Warning! GuruFocus has detected 8 Warning Signs with SFTBY. Is SFTBY fairly valued? Test your thesis with our free DCF calculator.

SoftBank shares fell 12.74% in Tokyo to 6,211 yen, wiping out an earlier weekly gain tied to chip-sector optimism. The selloff was also pressured by weakness in Arm and growing concern over the huge capital needed to fund AI infrastructure.

OpenAI was last privately valued at about $730 billion, but advisers reportedly worry that volatile markets and AI valuation fatigue could reduce investor appetite. Rather than lowering expectations to rush a listing, OpenAI may wait until 2027.

View Comments",https://finance.yahoo.com/markets/stocks/articles/softbank-plunges-openai-ipo-delay-111458225.html,"['9984.TSE', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F']","['AI', 'CHIP-SECTOR', 'IPO', 'TECH']",-0.533,0.096,0.814,0.089
2026-06-26T11:04:45+00:00,"Tech Caution Prevails on Wall Street Pre-Bell; Asia, Europe Down","Wall Street futures pointed moderately lower pre-bell Friday as traders again toggled risk off on ri

PREMIUM

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Upgrade

Already have a subscription? Sign in",https://finance.yahoo.com/markets/stocks/articles/tech-caution-prevails-wall-street-110445333.html,"['9984.TSE', 'AAPL.US', 'DJI.INDX', 'GSPC.INDX', 'IXIC.INDX', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F']",[],-0.511,0.087,0.913,0.0
2026-06-26T11:04:00+00:00,OpenAI IPO Fears Hit Oracle and Other Stocks Exposed to the ChatGPT Maker,"The ChatGPT developer is inclined to delay its initial public offering until 2027, according to a report.

Continue Reading",https://finance.yahoo.com/m/926189e9-e8ed-3e1c-a8d9-ef0957803cdb/openai-ipo-fears-hit-oracle.html,"['3AG0.F', '3AG1.F', '9434.TSE', '94345.TSE', '9984.TSE', 'CRWV.US', 'ORC.DU', 'ORC.F', 'ORC.HM', 'ORC.MU', 'ORCL.MX', 'ORCL.US', 'ORCL34.SA', 'SFBQF.US', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F', 'SOBKY.US']","['INITIAL PUBLIC OFFERING', 'IPO']",-0.318,0.119,0.881,0.0
2026-06-26T10:37:10+00:00,Tech Caution Overcomes Asian Stock Markets,"Asian stock markets fell back Friday on tech-sector gloom, after media reports that prominent US-bas

PREMIUM

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Upgrade

Already have a subscription? Sign in",https://finance.yahoo.com/markets/world-indices/articles/tech-caution-overcomes-asian-stock-103710804.html,"['9984.TSE', 'AAPL.US', 'HSI.INDX', 'KS11.INDX', 'N225.INDX', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F']",[],-0.318,0.072,0.882,0.046
2026-06-26T06:39:59+00:00,SoftBank shares plunge 13% as OpenAI reportedly weighs IPO delay to 2027,"[SoftBank Flagship Store in Japan]
winhorse/iStock Unreleased via Getty Images

SoftBank Group’s (SFTBY [https://seekingalpha.com/symbol/SFTBY]) shares tumbled as much as 13% on Friday following reports from _The New York Times_ that artificial intelligence pioneer OpenAI (OPENAI [https://seekingalpha.com/symbol/OPENAI]) is considering pushing its highly anticipated public debut into next year [https://seekingalpha.com/news/4607600-openai-considers-pausing-ipo-pursuit-until-2027-report].

The potential postponement threatens to delay a massive liquidity event for the company's major financial backers. SoftBank is one of OpenAI’s largest backers through its participation in the company’s funding rounds and AI infrastructure initiatives.

In Tokyo trading, SoftBank shares slumped 12.74% to 6,211.0 yen, erasing an 8% gain from earlier in the week driven by positive chip sector news. The sharp reversal was fueled by an overnight drop in SoftBank's US-listed subsidiary, Arm Holdings, alongside growing investor worry over the massive spending required for global AI infrastructure.

According to sources cited by the _NYT [https://www.nytimes.com/2026/06/25/technology/openai-ipo-artificial-intelligence.html]_, OpenAI had previously explored launching its public debut as early as the second half of 2026. Chief Executive Sam Altman has reportedly pushed advisers to target a milestone $1 trillion valuation—a massive leap from the company's last private valuation of $730 billion.

The news has introduced a wave of anxiety for SoftBank investors. The Tokyo-listed tech conglomerate has been aggressively building up what is slated to be an approximate 13% stake in OpenAI, valued at roughly $64.6 billion by October.

However, with advisers warning that volatile equity markets and AI valuation fatigue could dampen investor appetite, executives are pivoting. Rather than slashing expectations to fast-track the listing, OpenAI is now leaning toward waiting until 2027 to achieve its $1 trillion goal.

MORE ON SOFTBANK GROUP CORP.

 	* SoftBank Group Corp. (SFTB:CA) Shareholder/Analyst Call - Slideshow [https://seekingalpha.com/article/4917404-softbank-group-corp-sftb-ca-shareholder-analyst-call-slideshow]
 	* SoftBank Group Corp. (SFTB:CA) Shareholder/Analyst Call Transcript [https://seekingalpha.com/article/4917197-softbank-group-corp-sftb-ca-shareholder-analyst-call-transcript]
 	* SoftBank: Get In Before The OpenAI IPO [https://seekingalpha.com/article/4914568-softbank-get-in-before-the-openai-ipo]
 	* SoftBank-backed Carro eyes U.S. IPO as soon as this month - report [https://seekingalpha.com/news/4605902-softbank-backed-carro-eyes-us-ipo-as-soon-as-this-month---report]
 	* SoftBank dips 11% on Tokyo exchange over high-risk AI bets [https://seekingalpha.com/news/4600524-softbank-dips-11-on-tokyo-exchange-over-high-risk-ai-bets]

 ",https://seekingalpha.com/news/4607637-softbank-shares-plunge-13-as-openai-reportedly-weighs-ipo-delay-to-2027?utm_source=feed_news_all&amp;utm_medium=referral&amp;feed_item_type=news,"['OPENAI.US', 'SFTB:CA.US', 'SFTBF.US', 'SFTBY.US']","['ARTIFICIAL-INTELLIGENCE', 'IPO', 'IPO NEWS', 'ON THE MOVE', 'SHAREHOLDER', 'TECH']",0.273,0.06,0.879,0.061
2026-06-26T04:56:43+00:00,Samsung reportedly eyes $648B AI and chip expansion,"[Artificial intelligence microchip on a circuit board.]
amgun

Samsung Group ‌(SSNLF [https://seekingalpha.com/symbol/SSNLF]) will unveil a sweeping decade-long investment plan on Monday, pledging 1,000T won ($648B) to anchor South Korea's next growth cycle, including a possible 300T won push to build chip factories in the country's southwest, a media report said.

The investment, which would include AI data centers, batteries and displays, will be announced ​at a meeting with President Lee Jae Myung at the presidential office, the_ Maeil Business Newspaper_ said on Friday.

Top executives from heavyweights including Samsung Electronics (SSNLF [https://seekingalpha.com/symbol/SSNLF]) and its rival SK Hynix (SKHY [https://seekingalpha.com/symbol/SKHY]) will attend the meeting and ⁠lay out investment plans targeting regions beyond Seoul and its surrounding hubs, the report said.

However, the company's shares tanked 8% on Friday as tech selloff spilled into Asia’s semiconductor sector, with South Korea’s SK Hynix down 9.5%, Japan’s Advantest (ATEYY [https://seekingalpha.com/symbol/ATEYY]) declining over 6%, and Tokyo Electron (TOELY [https://seekingalpha.com/symbol/TOELY]) similarly down more than 2%. SoftBank (SFTBY [https://seekingalpha.com/symbol/SFTBY]) plunged 12%.

MORE ON SAMSUNG ELECTRONICS

 	* Wall Street Lunch: AI Chip Stocks Sink As Investors Take Profits, Analysts Stay Bullish [https://seekingalpha.com/article/4917037-wall-street-lunch-ai-chip-stocks-sink-as-investors-take-profits-analysts-stay-bullish]
 	* Samsung: Strike Relief Is Good For Revenue, But It Removes A Margin Catalyst [https://seekingalpha.com/article/4907147-samsung-strike-relief-is-good-for-revenue-but-it-removes-a-margin-catalyst]
 	* Samsung Electronics Co., Ltd. (SSNLF) Q1 2026 Earnings Call Transcript [https://seekingalpha.com/article/4896286-samsung-electronics-co-ltd-ssnlf-q1-2026-earnings-call-transcript]
 	* South Korea in talks with Samsung, SK Hynix over new chip investments: report [https://seekingalpha.com/news/4606491-south-korea-in-talks-with-samsung-sk-hynix-over-new-chip-investments]
 	* Samsung Electronics to pursue $59B share buyback - report [https://seekingalpha.com/news/4606459-samsung-electronics-to-pursue-59b-share-buyback---report]

 ",https://seekingalpha.com/news/4607631-samsung-reportedly-eyes-648b-ai-and-chip-expansion?utm_source=feed_news_all&amp;utm_medium=referral&amp;feed_item_type=news,"['ATEYY.US', 'HXSCL.US', 'SFTBY.US', 'SKHY.US', 'SSNLF.US', 'TOELY.US']","['SEMICONDUCTORS', 'SOUTH-KOREA', 'TECH']",0.977,0.006,0.878,0.116
2026-06-26T04:36:16+00:00,Apple Price Hikes Spark Asia Tech Selloff on Memory Cost Concern,"(Bloomberg) -- Asian technology stocks slumped after Apple raised prices for its products, stoking concern that rising component prices will curb demand for devices and eventually slow the memory chip rally that has powered much of the AI trade.

Most Read from Bloomberg

Apple Shares Sink After Price Hikes Hit iPads and Macs Investor Who Scored 900% Win in 2008 Crisis Has New Big Short Bet Ship Struck in Hormuz as Oil Supertankers Turn Back Again Stocks Whipsaw as Micron Surges While Apple Sinks: Markets Wrap Grand Ole Opry House Up For Sale by Owner Ryman Hospitality

South Korean memory chip giants SK Hynix Inc. and Samsung Electronics Co. both slid more than 8%. Their Japan-based peer Kioxia Holdings Corp. sank as much as 12%. That led to a 6.4% drop in the MSCI Asia Pacific Infotech gauge. Futures on the Nasdaq 100 Index declined 1.5%.

Investors are reassessing whether soaring memory prices, driven by relentless AI demand, may begin to choke off spending by raising costs for electronics makers and consumers alike. Apple's price hikes offered one of the clearest signs yet that the industry's pricing power may come at the expense of future demand, prompting a broad recalibration across AI-linked semiconductor stocks.

""Markets are no longer treating memory strength as an automatic positive for the whole AI trade,"" said Charu Chanana, chief investment strategist at Saxo Markets in Singapore. ""It validates AI infrastructure demand, but it also raises the cost of building and consuming AI.""

""The risk is that a stronger memory cycle today starts to slow the broader AI trade tomorrow. And the market is starting to price that,"" she said.

Apple on Thursday raised prices of all Macs, iPads, home devices and the Vision Pro, seeking to offset cost hikes caused by a shortage of memory chips and storage. The company's shares fell 6.1%, their biggest drop since April 2025. Among Apple's Asian suppliers, Taiwan's MediaTek Inc. fell as much as 10%, while Hon Hai Precision Industry Co. dropped 3.7%.

Microsoft Corp. on Thursday announced a third price increase for its Xbox video-game consoles in another example of the component shortage crisis that has driven up the cost of consumer tech products.

Sentiment toward Asian tech shares was also hurt by news that OpenAI may hold off on an initial public offering until next year. SoftBank Group Corp.'s stock fell as much as 14% in Tokyo, on concern the company which is a prominent backer of OpenAI, may face delayed returns.

""OpenAI's potential IPO delay reflects the impact of recent tech stock volatility on retail enthusiasm,"" said Fabien Yip, market analyst at IG International. ""This creates a reality check on AI valuations, directly hitting SoftBank and overspilling to the broader tech sector.""

Story Continues

Most Read from Bloomberg Businessweek

A Veteran Apple Designer Reimagines the Golf Cart A Credit Loophole So Big You Can Drive an SUV Through It Canada's Lobster Capital Is Trying to Become an Oil and Gas Giant Too How Pokémon Cards Became Scarce, Valuable and Surprisingly Dangerous The Money and Influence Behind America's Very MAGA 250th Birthday Party

©2026 Bloomberg L.P.

View Comments",https://finance.yahoo.com/markets/stocks/articles/apple-price-hikes-spark-asia-043616853.html,"['000660.KS', '005930.KS', '005935.KS', '2317.TW', '2454.TW', '285A.TSE', '9984.TSE', 'AAPL.US', 'HHP2.F', 'HNHPF.US', 'HY9H.F', 'MSFT.US', 'SFT.DU', 'SFT.F', 'SFT.HM', 'SFT.MU', 'SFTBF.US', 'SFTBY.US', 'SFTU.F', 'SMSNN.MX', 'SSNLF.US', 'SSU.F', 'SSUN.F']","['INITIAL PUBLIC OFFERING', 'IPO', 'MEMORY-CHIPS', 'PRICE-TARGET', 'SEMICONDUCTORS', 'TECH']",0.572,0.078,0.839,0.083
